date,time,description,location,url
2025-09-01,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-09-06,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-09-06,7:00 AM–8:00 AM,Sunrise Yoga (Every BODY Fitness),"Mercy Park, 2808 S Picher Ave, Joplin, MO 64804",https://happeningnext.com/event/sunrise-yoga-eid3a0cr4dq2k
2025-09-08,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-09-13,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-09-13,7:00 AM,ROCC The Journey 5K,"Behind The ROCC, 1402 S Main St, Joplin, MO",https://runsignup.com/Race/MO/Joplin/ROCCTheJourney5K
2025-09-13,9:00 AM–10:00 AM,Walk With A Doc (free community walk + brief health talk),"Mercy Park, 3002 St. Johns Blvd, Joplin, MO 64804",https://walkwithadoc.org/join-a-walk/locations/joplin-missouri/
2025-09-15,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-09-20,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-09-20,10:00 AM–2:00 PM,Hobbit Day at the Market (special themed market day),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/event/hobbit-day-at-the-market-3/
2025-09-22,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-09-27,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-09-27,8:00 PM–9:00 PM,Yoga Under The Stars,"Mercy Park, 2808 S Picher Ave, Joplin, MO 64804",https://allevents.in/joplin/yoga-under-the-stars/200028437695306
2025-09-27,9:15 AM,Bike Walk Joplin – Community Ride,"Start: Empire Market, 931 E 4th St, Joplin, MO",https://www.bikewalkjoplin.org/
2025-09-29,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-10-04,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-10-04,6:45 PM–10:00 PM,Glow the Distance 5K/10K – Joplin,"Joplin, MO 64801",https://runsignup.com/Race/MO/Joplin/GlowtheDistance5K10K
2025-10-06,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-10-11,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-10-11,7:30 AM–12:00 PM,Maple Leaf Bicycle Tour (Joplin Trails Coalition),"Kellogg Lake Park, Carthage, MO 64836",https://www.bikereg.com/maple-leaf-bicycle-tour
2025-10-11,9:00 AM–10:00 AM,Walk With A Doc (free community walk + brief health talk),"Mercy Park, 3002 St. Johns Blvd, Joplin, MO 64804",https://walkwithadoc.org/join-a-walk/locations/joplin-missouri/
2025-10-13,11:00 AM–6:00 PM,Whole Blood Donation (Community Blood Center of the Ozarks),"CBCO Joplin Donor Center, 2318 E. 32nd St Suite D, Joplin, MO 64804",https://www.cbco.org/donate-blood/
2025-10-17,1:00 PM–3:00 PM,SNAP Outreach – MU Extension Health & Human Sciences,"Joplin Public Library, 1901 E 20th St, Joplin, MO 64804",https://joplin.librarycalendar.com/event/snap-outreach-visit-mu-extension-health-and-human-sciences-8610
2025-10-18,10:00 AM–2:00 PM,Joplin Empire Market (four-season farmers/public market),"Empire Market, 931 E 4th St, Joplin, MO 64801",https://www.downtownjoplin.com/joplin-empire-market/
2025-10-19,3:00 PM–4:30 PM,RACE 4 HOPE (5K/Walk),"Joplin, MO 64801",https://runsignup.com/Race/MO/Joplin/RACE4HOPEJoplinMO
